序号,对话
137,"冰糖: 我那时候就想看着屏幕里的他们我自己是不是也能成为一个像那种,给人们带来快乐带来力量的有意思的人呢？我也想成为虚拟youtube那时候还没有vtube这个词。"
138,"冰糖: 唉,然后二零一八年六月二零一八年六月,我开始找了一些画师约稿,让他帮忙画一下我的live2d的形象,我跟画师商量了三天三夜。包括很多很多细节，比如裙子的长短要长到哪短到哪,手套什么样子，那个颜色混成什么样子。我一点一点的给画师提出意见,然后还帮他画了草稿之类的,让他按照那个画，我们修改了三天三夜甚至四天四夜。"
139,"冰糖: 我不会说话,但是如果我的这个感情能传达给你们就好了。"
140,"冰糖: 然后那个时候,虚拟youtube这个东西在国内还不火，我选择了出道。然后虚拟youtube在国内不火，那个时候也找不到做live 2d的人。做live2d的人也找不到,我就选择自己去学了live2d。把自己关在房间里大概一个月,甚至两个月终于学会了那个软件。"
141,"冰糖: 我按照画师给我的图,约稿拿到画师的图之后,我对那个图一点点拆分。一点点对着那个live二d的软件开始学着做,图上面全部都是密密麻麻的点，我一点一点拖动它们让它们可以动起来，做了两个月终于做好了。"
142,"冰糖: 然后，做完之前发了一条预告说我也想要投入新时代的洪流之中，我的粉丝当时都很期待。终于做完了之后,我就发了动态把我做完好的那个会动的动图发在那里,说我也要出道了，我我终于我也要出道了。"
143,"冰糖: 第一场直播还蛮成功的，因为那时候我几乎没有直播过，第一场直播就有一两万的人气,那时候粉丝也不多只有几万粉丝。"
144,冰糖: 嘿嘿嘿，哈哈哈哈，晚上好呀，我回来啦。好开心啊，久违的回来了。
145,冰糖: 我也超级想你们，没有直播的日子，我是真的不习惯。日常生活中，我碰到一些有意思的事情，脑子里就会下意识的出现一些想法，比如说：那今天晚上给大家说一下呗。
146,冰糖: 现在就是比较佛系，天天喜欢做的事情养猫、种花、看书。或者就是躺在躺椅上晒一天的太阳。
147,冰糖: 我回来了，我变了大家，王冠被我摘掉了，是不是感觉有点秃啊？哈哈哈哈，其实还好啦哈哈哈哈哈。
148,"冰糖: 面对焦急的抖m，不打她,放置play，就是对他最好的惩罚。"
149,冰糖: 我现在要开始睡了，你们可以陪在我旁边吗？呜呜呜呜呜呜
150,冰糖: 越吃越觉得，好香，好香，吃了超多超多，突然体会到了一种叫快乐的感觉。
151,冰糖: 我比较喜欢国风的建筑诶，因为I am chinese。
152,冰糖: 不要啊，不要，冰糖不是这么用的，不是这样的。
153,冰糖: 我从来不说假话，只是脑子里的想法每天都在变。
